Species,Species_name,Species_acceptedname,family,subfamily,Frequency,allergen_score_old,allergenicity_anecdotal,allergen_score_corrected,IUIS.record,SDAP.record,AllFam.record,Allergenonline.record,Allergome.record,additional_ref,react.europe.Allergome,FDA,allergenicity_strict,ref_severity,Comment_severity
Geranium_pyrenaicum,Geranium pyrenaicum,Geranium_pyrenaicum,Geraniaceae,NA,1,2,1,0,0,0,0,0,0,1,,,0,Hruska 2003,"anecdotal evidence only. Geranium spp. Reported to have allergenic pollen in Allergome, but provide no primary medical references in the literature. "
Holcus_mollis,Holcus mollis,Holcus_mollis,Poaceae,Pooideae,4,1,1,3,0,0,0,0,0,1,,,1,Weber 2004,"Cross reactivity within Pooideae, tribe Aveneae, same genus as Holcus lanatus"
Hypericum_perforatum,Hypericum perforatum,Hypericum_perforatum,Hypericaceae,NA,20,2,1,0,0,0,0,0,0,1,,,0,Hruska 2003,anecdotal evidence only
Koeleria_macrantha,Koeleria macrantha,Koeleria_pyramidata_subsp._pyramidata,Poaceae,Pooideae,1,3,1,3,0,0,0,0,0,1,,,1,Weber 2004,"cross-reactivity with other Pooidae, Poeae grasses"
Koeleria_pyramidata,Koeleria pyramidata,Koeleria_pyramidata,Poaceae,Pooideae,1,0,1,3,0,0,0,0,0,1,,,1,Weber 2004,cross-reactivity with other Pooideae
Linaria_vulgaris,Linaria vulgaris,Linaria_vulgaris,Plantaginaceae,NA,6,2,1,0,0,0,0,0,0,1,,,0,Hruska 2003,anecdotal evidence only
Medicago_falcata,Medicago falcata,Medicago_falcata,Fabaceae,Papilionoideae,1,0,1,1,0,0,0,0,0,1,,,0,Bousquet et al. 1984,similar to Medicago sativa ?
Medicago_minima,Medicago minima,Medicago_minima_var._brevispina,Fabaceae,Papilionoideae,1,0,1,1,0,0,0,0,0,1,,,0,Bousquet et al. 1984,similar to Medicago sativa ?
Medicago_x_varia,Medicago x varia,Medicago_varia,Fabaceae,Papilionoideae,13,0,1,1,0,0,0,0,0,1,,,0,Bousquet et al. 1984,similar to Medicago sativa ?
Plantago_arenaria,Plantago arenaria,Plantago_arenaria,Plantaginaceae,NA,2,0,1,3,0,0,0,0,0,1,,,0,Weber 2015,cf. Plantago lanceolata
Poa_angustifolia,Poa angustifolia,Poa_angustifolia,Poaceae,Pooideae,41,3,1,3,0,0,0,0,0,1,,,1,Weber 2004,cross-reactivity with other Poa species
Poa_bulbosa,Poa bulbosa,Poa_bulbosa,Poaceae,Pooideae,2,0,1,3,0,0,0,0,0,1,,,1,Weber 2004,"cross-reactivity with other Pooideae, Poeae grasses"
Polygonum_aviculare,Polygonum aviculare,Polygonum_aviculare,Polygonaceae,Polygonoideae,3,2,1,0,0,0,0,0,0,1,,,0,Hruska 2003,"anecdotal evidence only; Polygonum spp. cited in Allergome, but no medical reference."
Potentilla_argentea,Potentilla argentea,Potentilla_argentea,Rosaceae,Rosoideae,33,1,1,0,0,0,0,0,0,1,,,0,Ščevková 2014,"anecdotal evidence only; potentilla sometimes recommended for ""allergy free garden"" (anecdotal evidence)"
Potentilla_reptans,Potentilla reptans,Potentilla_reptans,Rosaceae,Rosoideae,2,1,1,0,0,0,0,0,0,1,,,0,Ščevková 2014,anecdotal evidence only
Ranunculus_bulbosus,Ranunculus bulbosus,Ranunculus_bulbosus,Ranunculaceae,Ranunculoideae,2,1,1,0,0,0,0,0,0,1,,,0,Ščevková 2014,anecdotal evidence only
Saponaria_officinalis,Saponaria officinalis,Saponaria_officinalis,Caryophyllaceae,NA,4,2,1,0,0,0,0,0,0,1,,,0,Hruska 2003,anecdotal evidence only; Some allergenicity perhaps but not of the pollen (cf. Allergome)
Senecio_inaequidens,Senecio inaequidens,Senecio_inaequidens,Asteraceae,Asteroideae,2,0,1,2,0,0,0,0,0,1,,,0,Luengo 2008,strong cross-reactivity of Senecio species in Luengo et al. 
Senecio_vernalis,Senecio vernalis,Senecio_vernalis,Asteraceae,Asteroideae,2,0,1,2,0,0,0,0,0,1,,,0,Luengo 2008,strong cross-reactivity of Senecio species in Luengo et al. 
Setaria_viridis,Setaria viridis,Setaria_viridis,Poaceae,Panicoideae,13,1,1,2,0,0,0,0,0,1,,,1,Weber 2004,cross-reactivity within Panicoidae; Grass 1 allergens = upgrade to moderate allergen
Stellaria_media,Stellaria media,Stellaria_media,Caryophyllaceae,NA,4,1,1,0,0,0,0,0,0,1,,,0,Hruska 2003,anecdotal evidence only; no further evidence
Taraxacum_sect._Erythrosperma,Taraxacum sect. Erythrosperma,Taraxacum_sect._Erythrosperma,Asteraceae,NA,5,0,1,2,0,0,0,0,0,1,,,0,,Assumed similar to Taraxacum sect. Ruderalia
Verbascum_lychnitis,Verbascum lychnitis,Verbascum_lychnitis,Scrophulariaceae,NA,3,0,1,0,0,0,0,0,0,1,,,0,Bikakci 2006,anecdotal evidence only
Verbascum_nigrum,Verbascum nigrum,Verbascum_nigrum,Scrophulariaceae,NA,2,0,1,0,0,0,0,0,0,1,,,0,Bikakci 2006,anecdotal evidence only
Melilotus_officinalis,Melilotus officinalis,Melilotus_officinalis,Fabaceae,Papilionoideae,3,1,1,0,0,0,0,0,0,0,,1089,0,,"according to FDA, no data supporting  Melilotus album allergies. "
Tanacetum_vulgare,Tanacetum vulgare,Tanacetum_vulgare,Asteraceae,Asteroideae,6,1,1,1,0,0,0,0,0,0,,1260,0,,only contact dermatitis reported
Agrimonia_eupatoria,Agrimonia eupatoria,Agrimonia_eupatoria,Rosaceae,Rosoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Ajuga_genevensis,Ajuga genevensis,Ajuga_genevensis,Lamiaceae,Teucrioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Anchusa_officinalis,Anchusa officinalis,Anchusa_officinalis,Boraginaceae,Boraginoideae,6,0,0,0,0,0,0,0,0,0,,,0,,
Anthriscus_caucalis,Anthriscus caucalis,Anthriscus_caucalis,Apiaceae,Apioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
