Species_name,Flowering_beg,Flowering_end,Pollen_dispersal,Source
Poa compressa,June,July,Wind,BioFlor- 2018
Poa pratensis,May,June,"Wind, selfing",BioFlor- 2018
Poa trivialis,June,July,Wind,BioFlor- 2018
Polygonatum odoratum,May,June,"Selfing, insects",BioFlor- 2018
Polygonum aviculare,May,November,"Selfing, cleistogamy, insects",BioFlor- 2018
Populus,March,April,Wind,BioFlor- 2018
Populus tremula,March,April,Wind,BioFlor- 2018
Portulaca oleracea,June,September,"Wind, selfing, pseudocleistogamy, cleistogamy, insects",BioFlor- 2018
Potentilla argentea,June,October,"Selfing, insects",BioFlor- 2018
Potentilla incana,March,May,"Selfing, insects",BioFlor- 2018
Potentilla reptans,June,August,Insects,BioFlor- 2018
Potentilla verna,April,June,"Selfing, insects",BioFlor- 2018
Prunus,March,July,"Wind, selfing, insects",BioFlor- 2018
Prunus domestica,April,May,"Selfing, insects",BioFlor- 2018
Prunus serotina,May,July,"Wind, insects",BioFlor- 2018
Prunus spinosa,April,May,"Selfing, insects",BioFlor- 2018
Pyrus communis agg.,April,May,Insects,BioFlor- 2018
Quercus,April,May,Wind,BioFlor- 2018
Quercus robur,May,May,Wind,BioFlor- 2018
Ranunculus acris,May,September,Insects,BioFlor- 2018
Ranunculus bulbosus,May,July,Insects,BioFlor- 2018
Robinia pseudoacacia,May,June,Insects,BioFlor- 2018
Rosa canina agg.,May,July,"Selfing, insects",BioFlor- 2018
Rubus caesius,May,July,"Selfing, insects",BioFlor- 2018
Rubus sect. Rubus,May,July,,BioFlor- 2018
Rumex acetosella,May,July,Wind,BioFlor- 2018
Rumex thyrsiflorus,July,August,Wind,BioFlor- 2018
Salvia pratensis,May,August,"Selfing, insects",BioFlor- 2018
Sanguisorba minor subsp. balearica,May, August,"Wind, selfing",BioFlor- 2018
Saponaria officinalis,June,September,"Selfing, insects",BioFlor- 2018
Saxifraga tridactylites,April,June,"Selfing, insects",BioFlor- 2018
Scleranthus annuus agg.,April,October,"Selfing, pseudocleistogamy, insects",BioFlor- 2018
Scleranthus perennis,May,September,"Selfing, insects",BioFlor- 2018
Scorzoneroides autumnalis,July,September,Insects,BioFlor- 2018
Securigera varia,June,August,Insects,BioFlor- 2018
Sedum acre,June,August,"Selfing, insects",BioFlor- 2018
Sedum album,June,September,"Selfing, insects",BioFlor- 2018
Sedum maximum,July,September,"Selfing, insects",BioFlor- 2018
Sedum rupestre,June,August,"Selfing, insects",BioFlor- 2018
Sedum sexangulare,June,August,"Selfing, insects",BioFlor- 2018
Senecio inaequidens,July,December,"Selfing, insects",BioFlor- 2018
Senecio jacobaea,July,September,Insects,BioFlor- 2018
Senecio vernalis,May,November,Insects,BioFlor- 2018
Setaria viridis,June,October,Wind,BioFlor- 2018
Silene conica,June,July,Selfing,BioFlor- 2018
Silene latifolia subsp. alba,June,September,Insects,BioFlor- 2018
Silene vulgaris,May,September,"Selfing, insects",BioFlor- 2018
Sisymbrium loeselii,June,August,"Selfing, insects",BioFlor- 2018
Solanum nigrum,June,October,"Selfing, insects",BioFlor- 2018
Solidago canadensis,August,October,Insects,BioFlor- 2018
Spergula morisonii,April,June,"Selfing, insects",BioFlor- 2018
Spergularia rubra,May,September,"Selfing, insects",BioFlor- 2018
Stellaria graminea,May,July,"Selfing, insects",BioFlor- 2018
Stellaria media,January,December,"Selfing, cleistogamy, insects",BioFlor- 2018
Stellaria pallida,March,May,Selfing,BioFlor- 2018
Tanacetum vulgare,July,September,Insects,BioFlor- 2018
Taraxacum sect. Erythrosperma,April,June,Insects,BioFlor- 2018
Taraxacum sect. Ruderalia,March,october,Insects,BioFlor- 2018
Teesdalia nudicaulis,April,May,"Selfing, insects",BioFlor- 2018
Thymus pulegioides,June,October,Insects,BioFlor- 2018
Tilia,June,July,"Wind, selfing, insects",BioFlor- 2018
Tragopogon,May,July,"Selfing, geitonogamy, insects",BioFlor- 2018
Tragopogon dubius,May,July,"Selfing, insects",BioFlor- 2018
Tragopogon pratensis,May,July,"Selfing, insects",BioFlor- 2018
Trifolium arvense,June,September,"Selfing, insects",BioFlor- 2018
Trifolium campestre,June,September,"Selfing, insects",BioFlor- 2018
Trifolium dubium,May,September,"Selfing, insects",BioFlor- 2018
Trifolium pratense,June,September,Insects,BioFlor- 2018
Trifolium repens,May,September,Insects,BioFlor- 2018
Trifolium striatum,June,July,Insects,BioFlor- 2018
Turritis glabra,May,July,"Selfing, insects",BioFlor- 2018
Verbascum lychnitis,June,August,"Selfing, insects",BioFlor- 2018
Verbascum nigrum,June,September,Insects,BioFlor- 2018
Veronica arvensis,March,October,"Selfing, insects",BioFlor- 2018
Veronica chamaedrys,May,July,"Pseudocleistogamy, insects",BioFlor- 2018
Veronica officinalis,June,August,"Selfing, insects",BioFlor- 2018
Veronica prostrata,April,July,"Selfing, insects",BioFlor- 2018
Veronica sublobata,March,May,"Selfing, pseudocleistogamy,  insects",BioFlor- 2018
Vicia angustifolia,May,July,"Selfing, cleistogamy, insects",BioFlor- 2018
Vicia cracca,June,August,Insects,BioFlor- 2018
Vicia hirsuta,June,July,"Selfing, insects",BioFlor- 2018
Vicia lathyroides,April,June,Insects,BioFlor- 2018
Vicia sepium,May,June,"Selfing, insects",BioFlor- 2018
Vicia tetrasperma,June,July,"Selfing, insects",BioFlor- 2018
Vicia villosa,June,September,Insects,BioFlor- 2018
Viola arvensis,April,October,"Selfing, cleistogamy, insects",BioFlor- 2018
Viola canina,May,June,"Cleistogamy, insects",BioFlor- 2018
Viola suavis,March,April,"Cleistogamy, insects",BioFlor- 2018
Viola tricolor,April,September,"Selfing, insects",BioFlor- 2018
