Species_name;clonal_adventitious_buds_on_roots;clonal_bulbs;clonal_epigeogeneous_stems;clonal_hypogeogeneous_stems;clonal_plant_fragments_of_stem_origin;clonal_plantlets_(pseudovivipary);clonal_rooting_horizontal_stems;clonal_root-splitters;clonal_spacers_above_and_renewal_buds_below_soil_surface;clonal_stem_tubers;clonal_buds_on_leaves_(gemmipary);reprod_type;LifeF_macrophanero;LifeF_nanophanero;LifeF_hemicrypto;LifeF_geophyte;LifeF_chamae;LifeF_hemiphanero;LifeF_pseudo;LifeF_thero;flower_class;legume;flower_brown;flower_yellow;flower_green;flower_red;flower_white;flower_pink;flower_purple;flower_violet;flower_blue;DispersalUnitLength_mean;LeafArea_mean;LeafNitrogenContent_mean;PlantHeight_mean;PlantMycorrhizalInfection_mean;SeedDryMass_mean;SLA_mean
Cynoglossum_officinale;0;0;1;1;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;B;0;1;0;0;0;0;0;0;0;0;6.802857143;8644.178889;;0.479166667;;30.31995833;22.84625
Cytisus_scoparius;0;0;0;1;0;0;0;0;0;0;0;s;0;1;0;0;0;0;0;0;H;1;0;1;0;0;0;0;0;0;0;10.724;35.88308538;30.57083333;1.528246154;70;8.272939715;17.68758947
Dactylis_glomerata;0;0;1;0;0;0;0;0;0;0;0;ssv;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;4.820909091;1688.412001;24.39550715;0.660004116;70;0.835444173;26.14085505
Danthonia_decumbens;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;3.765454545;336.6666667;17.21458333;0.234135238;70;1.230303846;17.1157309
Daucus_carota;1;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;0;A;0;0;0;0;0;1;0;0;0;0;3.2225;1156.376923;22.0318456;0.488749398;70;1.097841883;18.77244324
Deschampsia_flexuosa;0;0;1;0;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;3.910769231;45.14532096;21.90998848;0.315902857;70;0.399997586;24.52249327
Dianthus_carthusianorum;0;0;0;0;0;0;1;1;0;0;0;sv;0;0;1;0;0;0;0;0;Ft;0;0;0;0;0;0;0;1;0;0;2.15;;;0.33;;1.451714286;16.662
Dianthus_deltoides;0;0;1;1;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;F;0;0;0;0;1;0;0;1;0;0;1.742;26.66666667;;0.204375;10;0.195563636;19
Dianthus_giganteus;0;0;1;0;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;Ft;0;0;0;0;0;0;0;1;0;0;;;;;;;
Digitaria_ischaemum;0;0;1;0;0;0;0;0;0;0;0;s;0;0;0;0;0;0;0;1;W;0;0;0;0;0;0;0;1;0;0;1.922857143;142.4557143;11.34;0.1425;;1.275;37.78842771
Digitaria_sanguinalis;0;0;1;0;0;0;0;0;0;0;0;s;0;0;0;0;0;0;0;1;W;0;0;0;0;0;0;0;1;0;0;2.452222222;1783.297568;26.29347625;0.288333333;;0.515142857;38.92089937
Dipsacus_fullonum;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;0;B`;0;0;0;0;0;0;0;0;1;0;4.744;23937;13.8;0.913527778;30;2.523848485;19.54852121
Draba_verna;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;1;0;0;0;0;0;0;0;0.608;75.57514389;3.106014333;0.072307692;;0.508402857;39.74744698
Echium_vulgare;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;0;H;0;0;0;0;0;0;1;0;0;0;2.685;3842.5;23.6;0.580555556;70;2.921392308;14.45
Elymus_repens;0;0;0;0;1;0;0;0;0;0;0;vvs;0;0;1;1;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;9.620769231;2046.238884;24.37473583;0.745930234;70;2.561457226;22.58949776
Equisetum_arvense;0;0;0;1;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;;190.9909091;20.06733732;0.40618;;;13.70609118
Equisetum_x_moorei;0;0;0;1;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;;;;;;;
Eragrostis_minor;0;0;1;0;0;0;0;0;0;0;0;s;0;0;0;0;0;0;0;1;W;0;0;0;0;0;0;0;1;0;0;0.661666667;433.7446978;22.56821964;0.191666667;;0.08;31.28794512
Erigeron_acris;0;0;0;1;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;B`;0;0;0;0;1;1;0;1;0;0;5.17;316;;;;0.1025;
Erigeron_annuus;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;B`;0;0;0;0;0;1;0;1;0;0;1;1474.4082;16.55448934;0.788451613;;0.044666667;25.68877817
Erodium_cicutarium;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;B;0;0;0;0;0;0;1;0;0;0;4.185;722.99026;29.51361429;0.139132224;;1.889393333;29.07861633
Euonymus_europaea;0;0;0;0;0;0;0;1;0;0;0;s;0;1;0;0;0;0;0;0;A;0;0;0;1;0;0;0;0;0;0;;;;;;32.963;
Euphorbia_cyparissias;1;0;0;1;0;0;0;0;0;0;0;sv;0;0;1;1;0;0;0;0;A;0;0;1;1;1;0;0;0;0;0;1.961428571;25.46095709;27.9247675;0.203727273;70;2.041571429;22.31853714
Festuca_arundinacea;0;0;1;1;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;6.1;2077.405519;13.78159508;0.659536993;70;2.360580645;18.20794803
Festuca_brevipila;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;3.1;133.2166667;;0.266666667;;0.7898;5.583333333
Festuca_ovina;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;3.840588235;75.23035373;16.19863237;0.275417857;70;0.52923618;16.34846193
Festuca_pratensis;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;5.375714286;1403.413775;24.88857143;0.579813793;70;1.913395238;27.20810855
Festuca_rubra;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;6.098125;278.7195603;17.47659931;0.421862146;70;0.906554557;18.62172783
Ficaria_verna;0;0;1;0;0;0;0;0;0;0;0;vvs;0;0;1;1;0;0;0;0;AB;0;0;1;0;0;0;0;0;0;0;2.882857143;1112.977553;32.86914429;0.119727778;70;2.484523077;36.99645521
Filago_arvensis;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;1;B`;0;0;1;0;0;0;0;0;0;0;0.804;76.36666667;;0.2125;;0.4;39.06
Gagea_pratensis;0;1;0;0;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;AB;0;0;1;0;0;0;0;0;0;0;;;;0.14;;;
Galium_aparine;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;A;0;0;0;1;0;1;0;0;0;0;3.5375;229.7006626;26.94186889;0.351367179;70;8.489325713;43.76694154
Galium_boreale;0;0;0;1;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;A;0;0;0;0;0;1;0;0;0;0;1.92;102.3900955;20.35982609;0.357891667;70;0.693528079;28.26491311
Galium_mollugo;0;0;0;1;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;0;A;0;0;1;1;0;1;0;0;0;0;1.285714286;154.7725498;22.70785202;0.335655738;30;0.681203571;28.71696785
Galium_verum;0;0;0;1;0;0;0;1;0;0;0;sv;0;0;1;0;0;0;0;0;A;0;0;1;0;0;0;0;0;0;0;1.348333333;16.37825853;19.78505066;0.334698642;70;0.490500813;20.3511077
Geranium_molle;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;B;0;0;0;0;0;0;1;0;0;0;1.715;738.2163518;24.18928;0.265309524;30;1.11975;25.53111294
Geranium_pusillum;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;1;B;0;0;0;0;0;0;1;0;1;0;2.031666667;1265.6;;0.204166667;;0.764466667;25.5
Geranium_pyrenaicum;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;B;0;0;0;0;0;0;0;0;1;0;2.706;4021;;0.357142857;;1.602988235;28.37
Geranium_robertianum;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;B;0;0;0;0;0;0;0;1;0;0;1.965;1380.816263;28.88072542;0.182;30;1.324008696;43.37080854
Glechoma_hederacea;0;0;0;0;1;0;1;0;0;0;0;sv;0;0;1;1;0;0;0;0;Hh;0;0;0;0;0;0;0;0;1;1;1.6825;864.7980277;35.40829402;0.407352941;70;0.659583333;36.54034021
Gypsophila_paniculata;0;0;0;0;0;0;0;1;0;0;0;ssv;0;0;1;0;0;0;0;0;B;0;0;0;0;0;1;0;0;0;0;1.066666667;;;0.75;;0.720444444;
Helichrysum_arenarium;1;0;1;0;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;B`;0;0;1;0;0;0;0;0;0;0;1.34;407.5666667;17.3;0.2;;0.0765;18.41666667
Herniaria_glabra;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;A;0;0;1;1;0;0;0;0;0;0;0.738;11.92;20.7;0.094166667;;0.080202105;18.44909091
